iter	Passed	Remaining
0	131	394281
1	243	365340
2	362	362123
3	463	346791
4	557	334173
5	674	336728
6	780	333729
7	910	340663
8	999	332087
9	1075	321688
10	1154	313786
11	1205	300070
12	1278	293848
13	1372	292803
14	1449	288395
15	1517	283026
16	1596	280060
17	1691	280284
18	1778	278994
19	1854	276304
20	1936	274639
21	2005	271491
22	2071	268111
23	2149	266477
24	2214	263567
25	2265	259179
26	2344	258112
27	2419	256831
28	2503	256432
29	2566	254119
30	2623	251287
31	2685	249110
32	2757	247886
33	2824	246397
34	2899	245658
35	2992	246409
36	3111	249157
37	3154	245903
38	3236	245762
39	3321	245794
40	3355	242136
41	3424	241156
42	3460	237973
43	3542	237969
44	3622	237908
45	3697	237427
46	3781	237573
47	3851	236875
48	3895	234595
49	3968	234166
50	4045	233934
51	4127	234019
52	4210	234104
53	4294	234310
54	4380	234535
55	4432	233039
56	4495	232124
57	4569	231783
58	4618	230202
59	4690	229852
60	4759	229327
61	4843	229503
62	4918	229288
63	4998	229327
64	5079	229360
65	5166	229693
66	5233	229122
67	5303	228665
68	5361	227752
69	5433	227427
70	5514	227484
71	5547	225583
72	5583	223864
73	5667	224076
74	5702	222408
75	5787	222665
76	5856	222301
77	5941	222589
78	6018	222527
79	6075	221756
80	6132	220996
81	6182	219998
82	6259	219971
83	6340	220100
84	6377	218711
85	6451	218597
86	6532	218712
87	6606	218627
88	6688	218754
89	6765	218764
90	6838	218613
91	6924	218877
92	7004	218957
93	7078	218834
94	7121	217762
95	7202	217865
96	7276	217771
97	7350	217670
98	7386	216456
99	7438	215728
100	7514	215701
101	7587	215565
102	7666	215628
103	7740	215548
104	7817	215549
105	7891	215442
106	7955	215101
107	8032	215088
108	8106	215006
109	8186	215081
110	8266	215165
111	8349	215299
112	8378	214070
113	8464	214286
114	8501	213273
115	8583	213394
116	8661	213437
117	8683	212095
118	8759	212063
119	8843	212250
120	8922	212295
121	8965	211488
122	9010	210766
123	9087	210767
124	9152	210514
125	9235	210656
126	9312	210666
127	9346	209708
128	9417	209598
129	9496	209654
130	9584	209908
131	9667	210053
132	9740	209970
133	9800	209604
134	9878	209652
135	9961	209784
136	10033	209671
137	10119	209867
138	10205	210052
139	10281	210033
140	10348	209841
141	10422	209772
142	10488	209541
143	10563	209505
144	10608	208868
145	10690	208968
146	10745	208550
147	10784	207810
148	10870	207990
149	10920	207486
150	10970	206989
151	11008	206262
152	11030	205254
153	11104	205225
154	11173	205090
155	11252	205148
156	11321	205013
157	11402	205100
158	11446	204520
159	11523	204533
160	11614	204799
161	11677	204579
162	11753	204576
163	11849	204917
164	11940	205161
165	12023	205274
166	12110	205446
167	12146	204750
168	12223	204768
169	12302	204805
170	12349	204303
171	12430	204373
172	12508	204409
173	12562	204024
174	12627	203847
175	12707	203898
176	12796	204092
177	12843	203618
178	12911	203482
179	12933	202626
180	12975	202092
181	13045	201990
182	13097	201621
183	13177	201676
184	13269	201910
185	13346	201926
186	13369	201120
187	13392	200316
188	13414	199512
189	13494	199579
190	13578	199702
191	13615	199131
192	13683	199020
193	13720	198453
194	13801	198534
195	13887	198669
196	13953	198539
197	14032	198580
198	14111	198621
199	14184	198579
200	14263	198622
201	14293	197988
202	14332	197471
203	14413	197552
204	14451	197038
205	14533	197125
206	14610	197131
207	14698	197303
208	14772	197279
209	14795	196572
210	14817	195858
211	14895	195884
212	14971	195899
213	15044	195865
214	15067	195178
215	15142	195169
216	15223	195233
217	15300	195253
218	15336	194757
219	15417	194823
220	15499	194903
221	15566	194794
222	15636	194716
223	15715	194765
224	15770	194500
225	15851	194572
226	15957	194932
227	16029	194888
228	16116	195011
229	16186	194939
230	16271	195046
231	16347	195041
232	16432	195140
233	16515	195216
234	16608	195416
235	16694	195529
236	16772	195536
237	16853	195589
238	16932	195612
239	17010	195620
240	17088	195633
241	17168	195667
242	17242	195632
243	17322	195661
244	17408	195761
245	17476	195648
246	17556	195681
247	17634	195684
248	17707	195639
249	17788	195672
250	17866	195679
251	17947	195713
252	18025	195717
253	18089	195563
254	18179	195701
255	18268	195810
256	18353	195890
257	18433	195914
258	18508	195873
259	18600	196023
260	18712	196377
261	18795	196416
262	18878	196467
263	18939	196285
264	19020	196302
265	19117	196497
266	19248	197028
267	19331	197065
268	19413	197091
269	19492	197092
270	19568	197054
271	19641	196993
272	19712	196910
273	19792	196911
274	19870	196895
275	19961	197011
276	20038	196989
277	20132	197122
278	20218	197183
279	20307	197277
280	20387	197275
281	20482	197418
282	20558	197376
283	20653	197517
